|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                   COUNTS NUMBER OF INVOCATIONS                                                                   |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH  |   METRIC   |  SUM   |
|--------------------------------------------------------------------------------------------------------------------------|--------|--------|------------|--------|
| |00>>> __libc_start_main                                                                                                 | 137314 |      0 | trip_count | 137314 |
| |01>>>       |_lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> ... |      1 |      4 | trip_count |      1 |
| |01>>>         |___sigaction                                                                                             |      1 |      5 | trip_count |      1 |
| |01>>>     |___sigaction                                                                                                 |      9 |      3 | trip_count |      9 |
| |02>>> pthread_condattr_setpshared                                                                                       | 139393 |      0 | trip_count | 139393 |
| |02>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 139393 |      1 | trip_count | 139393 |
| |02>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 139393 |      2 | trip_count | 139393 |
| |02>>>     |_omp_fulfill_event                                                                                           | 139387 |      3 | trip_count | 139387 |
| |02>>>       |___sigaction                                                                                               | 139386 |      4 | trip_count | 139386 |
| |02>>>       |_lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> ... |      1 |      4 | trip_count |      1 |
| |02>>>         |___sigaction                                                                                             |      1 |      5 | trip_count |      1 |
| |02>>>     |___sigaction                                                                                                 |      6 |      3 | trip_count |      6 |
| |03>>> pthread_condattr_setpshared                                                                                       | 137479 |      0 | trip_count | 137479 |
| |03>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 137479 |      1 | trip_count | 137479 |
| |03>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 137479 |      2 | trip_count | 137479 |
| |03>>>     |_omp_fulfill_event                                                                                           | 137471 |      3 | trip_count | 137471 |
| |03>>>       |___sigaction                                                                                               | 137471 |      4 | trip_count | 137471 |
| |03>>>     |___sigaction                                                                                                 |      8 |      3 | trip_count |      8 |
| |04>>> pthread_condattr_setpshared                                                                                       | 139434 |      0 | trip_count | 139434 |
| |04>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 139434 |      1 | trip_count | 139434 |
| |04>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 139434 |      2 | trip_count | 139434 |
| |04>>>     |_omp_fulfill_event                                                                                           | 139430 |      3 | trip_count | 139430 |
| |04>>>       |___sigaction                                                                                               | 139430 |      4 | trip_count | 139430 |
| |04>>>     |___sigaction                                                                                                 |      4 |      3 | trip_count |      4 |
