|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                              PERCENTAGE OF SAMPLES                                                                            |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH |      METRIC      | UNITS |  SUM   |
|--------------------------------------------------------------------------------------------------------------------------|--------|-------|------------------|-------|--------|
| |06>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      1 |     0 | sampling_percent | %     |  0.000 |
| |07>>> pthread_condattr_setpshared                                                                                       | 138867 |     0 | sampling_percent | %     | 20.000 |
| |07>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 277734 |     0 | sampling_percent | %     | 40.001 |
| |07>>> omp_fulfill_event                                                                                                 | 138856 |     0 | sampling_percent | %     | 19.999 |
| |07>>> __sigaction                                                                                                       | 138867 |     0 | sampling_percent | %     | 20.000 |
| |08>>> pthread_condattr_setpshared                                                                                       | 139254 |     0 | sampling_percent | %     | 20.000 |
| |08>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 278508 |     0 | sampling_percent | %     | 40.001 |
| |08>>> omp_fulfill_event                                                                                                 | 139244 |     0 | sampling_percent | %     | 19.999 |
| |08>>> __sigaction                                                                                                       | 139254 |     0 | sampling_percent | %     | 20.000 |
| |09>>> pthread_condattr_setpshared                                                                                       | 139616 |     0 | sampling_percent | %     | 20.000 |
| |09>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 279232 |     0 | sampling_percent | %     | 40.001 |
| |09>>> omp_fulfill_event                                                                                                 | 139603 |     0 | sampling_percent | %     | 19.998 |
| |09>>> __sigaction                                                                                                       | 139616 |     0 | sampling_percent | %     | 20.000 |
| |09>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      1 |     0 | sampling_percent | %     |  0.000 |
| |10>>> pthread_condattr_setpshared                                                                                       | 139243 |     0 | sampling_percent | %     | 20.000 |
| |10>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 278486 |     0 | sampling_percent | %     | 40.000 |
| |10>>> omp_fulfill_event                                                                                                 | 139233 |     0 | sampling_percent | %     | 19.999 |
| |10>>> __sigaction                                                                                                       | 139243 |     0 | sampling_percent | %     | 20.000 |
| |10>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      3 |     0 | sampling_percent | %     |  0.000 |
| |11>>> pthread_condattr_setpshared                                                                                       | 139102 |     0 | sampling_percent | %     | 20.000 |
| |11>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 278204 |     0 | sampling_percent | %     | 40.001 |
| |11>>> omp_fulfill_event                                                                                                 | 139090 |     0 | sampling_percent | %     | 19.999 |
| |11>>> __sigaction                                                                                                       | 139102 |     0 | sampling_percent | %     | 20.000 |
| |12>>> pthread_condattr_setpshared                                                                                       | 138770 |     0 | sampling_percent | %     | 20.000 |
| |12>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 277540 |     0 | sampling_percent | %     | 40.001 |
| |12>>> omp_fulfill_event                                                                                                 | 138757 |     0 | sampling_percent | %     | 19.998 |
| |12>>> __sigaction                                                                                                       | 138770 |     0 | sampling_percent | %     | 20.000 |
| |12>>> transport(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&,... |      1 |     0 | sampling_percent | %     |  0.000 |
| |12>>> project(std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> >&, std::vector<... |      1 |     0 | sampling_percent | %     |  0.000 |
| |12>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      1 |     0 | sampling_percent | %     |  0.000 |
| |13>>> pthread_condattr_setpshared                                                                                       | 139191 |     0 | sampling_percent | %     | 20.000 |
| |13>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 278382 |     0 | sampling_percent | %     | 40.000 |
| |13>>> omp_fulfill_event                                                                                                 | 139183 |     0 | sampling_percent | %     | 19.999 |
| |13>>> __sigaction                                                                                                       | 139191 |     0 | sampling_percent | %     | 20.000 |
| |13>>> lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > const&... |      1 |     0 | sampling_percent | %     |  0.000 |
| |14>>> pthread_condattr_setpshared                                                                                       | 138843 |     0 | sampling_percent | %     | 20.001 |
| |14>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 277686 |     0 | sampling_percent | %     | 40.001 |
| |14>>> omp_fulfill_event                                                                                                 | 138825 |     0 | sampling_percent | %     | 19.998 |
| |14>>> __sigaction                                                                                                       | 138843 |     0 | sampling_percent | %     | 20.001 |
| |15>>> pthread_condattr_setpshared                                                                                       | 139101 |     0 | sampling_percent | %     | 20.000 |
| |15>>> std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char>... | 278202 |     0 | sampling_percent | %     | 40.001 |
| |15>>> omp_fulfill_event                                                                                                 | 139090 |     0 | sampling_percent | %     | 19.999 |
| |15>>> __sigaction                                                                                                       | 139101 |     0 | sampling_percent | %     | 20.000 |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
