|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                                                             WALL CLOCK TIME (VIA SAMPLING)                                                                                                             |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH  |       METRIC        | UNITS  |    SUM     |   MEAN   |   MIN    |   MAX    |   VAR    | STDDEV   | % SELF |
|--------------------------------------------------------------------------------------------------------------------------|--------|--------|---------------------|--------|------------|----------|----------|----------|----------|----------|--------|
| |00>>> __libc_start_main                                                                                                 | 137314 |      0 | sampling_wall_clock | sec    | 299.797928 | 0.002183 | 0.000029 | 0.637150 | 0.000007 | 0.002718 |    0.0 |
| |00>>>             |___sigaction                                                                                         |  38072 |      7 | sampling_wall_clock | sec    |  82.346038 | 0.002163 | 0.000030 | 0.015947 | 0.000001 | 0.001013 |  100.0 |
| |00>>>           |___sigaction                                                                                           |    573 |      6 | sampling_wall_clock | sec    |   1.109843 | 0.001937 | 0.000036 | 0.008610 | 0.000001 | 0.001089 |  100.0 |
| |00>>>       |_omp_fulfill_event                                                                                         |   1182 |      4 | sampling_wall_clock | sec    |   2.561956 | 0.002167 | 0.000031 | 0.010603 | 0.000001 | 0.001010 |    0.0 |
| |00>>>         |___sigaction                                                                                             |   1182 |      5 | sampling_wall_clock | sec    |   2.561956 | 0.002167 | 0.000031 | 0.010603 | 0.000001 | 0.001010 |  100.0 |
| |00>>>       |___sigaction                                                                                               |    430 |      4 | sampling_wall_clock | sec    |   0.910429 | 0.002117 | 0.000036 | 0.008605 | 0.000001 | 0.001101 |  100.0 |
| |00>>>       |_diffuse(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > c... |     47 |      4 | sampling_wall_clock | sec    |   0.105394 | 0.002242 | 0.000113 | 0.010613 | 0.000002 | 0.001447 |    0.0 |
| |00>>>         |___sigaction                                                                                             |     47 |      5 | sampling_wall_clock | sec    |   0.105394 | 0.002242 | 0.000113 | 0.010613 | 0.000002 | 0.001447 |  100.0 |
| |00>>>       |_std::ostream::write(char const*, long)                                                                    |     31 |      4 | sampling_wall_clock | sec    |   0.707600 | 0.022826 | 0.000878 | 0.637150 | 0.012999 | 0.114014 |    0.0 |
| |00>>>         |_std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)                            |     31 |      5 | sampling_wall_clock | sec    |   0.707600 | 0.022826 | 0.000878 | 0.637150 | 0.012999 | 0.114014 |    0.0 |
| |00>>>           |_std::__basic_file<char>::xsputn_2(char const*, long, char const*, long)                               |     30 |      6 | sampling_wall_clock | sec    |   0.705599 | 0.023520 | 0.000878 | 0.637150 | 0.013432 | 0.115897 |    0.0 |
| |00>>>             |___sigaction                                                                                         |     30 |      7 | sampling_wall_clock | sec    |   0.705599 | 0.023520 | 0.000878 | 0.637150 | 0.013432 | 0.115897 |  100.0 |
| |00>>>           |___sigaction                                                                                           |      1 |      6 | sampling_wall_clock | sec    |   0.002001 | 0.002001 | 0.002001 | 0.002001 | 0.000000 | 0.000000 |  100.0 |
| |00>>>       |_std::basic_ofstream<char, std::char_traits<char> >::close()                                               |      1 |      4 | sampling_wall_clock | sec    |   0.405335 | 0.405335 | 0.405335 | 0.405335 | 0.000000 | 0.000000 |    0.0 |
| |00>>>         |_std::basic_filebuf<char, std::char_traits<char> >::close()                                              |      1 |      5 | sampling_wall_clock | sec    |   0.405335 | 0.405335 | 0.405335 | 0.405335 | 0.000000 | 0.000000 |    0.0 |
