|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                                                                              CPU CLOCK TIME (VIA SAMPLING)                                                                                                            |
|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|                                                          LABEL                                                           | COUNT  | DEPTH  |       METRIC       | UNITS  |    SUM     |   MEAN   |   MIN    |   MAX    |   VAR    | STDDEV   | % SELF |
|--------------------------------------------------------------------------------------------------------------------------|--------|--------|--------------------|--------|------------|----------|----------|----------|----------|----------|--------|
| |00>>> __libc_start_main                                                                                                 | 137314 |      0 | sampling_cpu_clock | sec    | 256.949375 | 0.001871 | 0.000000 | 0.011581 | 0.000000 | 0.000381 |    0.0 |
| |00>>>           |_omp_fulfill_event                                                                                     |  38072 |      6 | sampling_cpu_clock | sec    |  71.353597 | 0.001874 | 0.000017 | 0.003470 | 0.000000 | 0.000357 |    0.0 |
| |00>>>             |___sigaction                                                                                         |  38072 |      7 | sampling_cpu_clock | sec    |  71.353597 | 0.001874 | 0.000017 | 0.003470 | 0.000000 | 0.000357 |  100.0 |
| |00>>>           |___sigaction                                                                                           |    573 |      6 | sampling_cpu_clock | sec    |   0.992006 | 0.001731 | 0.000018 | 0.002362 | 0.000000 | 0.000622 |  100.0 |
| |00>>>       |_omp_fulfill_event                                                                                         |   1182 |      4 | sampling_cpu_clock | sec    |   2.218999 | 0.001877 | 0.000016 | 0.002990 | 0.000000 | 0.000396 |    0.0 |
| |00>>>         |___sigaction                                                                                             |   1182 |      5 | sampling_cpu_clock | sec    |   2.218999 | 0.001877 | 0.000016 | 0.002990 | 0.000000 | 0.000396 |  100.0 |
| |00>>>       |___sigaction                                                                                               |    430 |      4 | sampling_cpu_clock | sec    |   0.781539 | 0.001818 | 0.000021 | 0.002734 | 0.000000 | 0.000487 |  100.0 |
| |00>>>       |_diffuse(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> > c... |     47 |      4 | sampling_cpu_clock | sec    |   0.090060 | 0.001916 | 0.000110 | 0.002189 | 0.000000 | 0.000312 |    0.0 |
| |00>>>         |___sigaction                                                                                             |     47 |      5 | sampling_cpu_clock | sec    |   0.090060 | 0.001916 | 0.000110 | 0.002189 | 0.000000 | 0.000312 |  100.0 |
| |00>>>       |_std::ostream::write(char const*, long)                                                                    |     31 |      4 | sampling_cpu_clock | sec    |   0.071445 | 0.002305 | 0.000908 | 0.002808 | 0.000000 | 0.000396 |    0.0 |
| |00>>>         |_std::basic_filebuf<char, std::char_traits<char> >::xsputn(char const*, long)                            |     31 |      5 | sampling_cpu_clock | sec    |   0.071445 | 0.002305 | 0.000908 | 0.002808 | 0.000000 | 0.000396 |    0.0 |
| |00>>>           |_std::__basic_file<char>::xsputn_2(char const*, long, char const*, long)                               |     30 |      6 | sampling_cpu_clock | sec    |   0.069396 | 0.002313 | 0.000908 | 0.002808 | 0.000000 | 0.000400 |    0.0 |
| |00>>>             |___sigaction                                                                                         |     30 |      7 | sampling_cpu_clock | sec    |   0.069396 | 0.002313 | 0.000908 | 0.002808 | 0.000000 | 0.000400 |  100.0 |
| |00>>>           |___sigaction                                                                                           |      1 |      6 | sampling_cpu_clock | sec    |   0.002049 | 0.002049 | 0.002049 | 0.002049 | 0.000000 | 0.000000 |  100.0 |
| |00>>>       |_std::basic_ofstream<char, std::char_traits<char> >::close()                                               |      1 |      4 | sampling_cpu_clock | sec    |   0.011581 | 0.011581 | 0.011581 | 0.011581 | 0.000000 | 0.000000 |    0.0 |
| |00>>>         |_std::basic_filebuf<char, std::char_traits<char> >::close()                                              |      1 |      5 | sampling_cpu_clock | sec    |   0.011581 | 0.011581 | 0.011581 | 0.011581 | 0.000000 | 0.000000 |    0.0 |
| |00>>>           |_std::__basic_file<char>::close()                                                                      |      1 |      6 | sampling_cpu_clock | sec    |   0.011581 | 0.011581 | 0.011581 | 0.011581 | 0.000000 | 0.000000 |    0.0 |
| |00>>>             |__IO_fclose                                                                                          |      1 |      7 | sampling_cpu_clock | sec    |   0.011581 | 0.011581 | 0.011581 | 0.011581 | 0.000000 | 0.000000 |    0.0 |
| |00>>>               |__IO_file_close_it                                                                                 |      1 |      8 | sampling_cpu_clock | sec    |   0.011581 | 0.011581 | 0.011581 | 0.011581 | 0.000000 | 0.000000 |    0.0 |
| |00>>>                 |___sigaction                                                                                     |      1 |      9 | sampling_cpu_clock | sec    |   0.011581 | 0.011581 | 0.011581 | 0.011581 | 0.000000 | 0.000000 |  100.0 |
| |00>>>     |___sigaction                                                                                                 |     24 |      3 | sampling_cpu_clock | sec    |   0.041490 | 0.001729 | 0.000084 | 0.002014 | 0.000000 | 0.000587 |  100.0 |
| |00>>>     |_rocprofsys_set_env                                                                                          |      1 |      3 | sampling_cpu_clock | sec    |   0.000226 | 0.000226 | 0.000226 | 0.000226 | 0.000000 | 0.000000 |    0.0 |
| |00>>>       |_void std::vector<unsigned long, std::allocator<unsigned long> >::_M_realloc_insert<unsigned long>(__gn... |      1 |      4 | sampling_cpu_clock | sec    |   0.000226 | 0.000226 | 0.000226 | 0.000226 | 0.000000 | 0.000000 |    0.0 |
| |00>>>         |___sigaction                                                                                             |      1 |      5 | sampling_cpu_clock | sec    |   0.000226 | 0.000226 | 0.000226 | 0.000226 | 0.000000 | 0.000000 |  100.0 |
| |00>>>     |_rocprofsys_finalize                                                                                         |      2 |      3 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>       |_rocprofsys_set_env                                                                                        |      2 |      4 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>         |_std::__throw_bad_optional_access()                                                                      |      2 |      5 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>           |___fprintf_chk                                                                                         |      2 |      6 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>             |_psiginfo                                                                                            |      2 |      7 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>               |__IO_file_xsputn                                                                                   |      2 |      8 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>                 |__IO_file_write                                                                                  |      2 |      9 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |    0.0 |
| |00>>>                   |___sigaction                                                                                   |      2 |     10 | sampling_cpu_clock | sec    |   0.002825 | 0.001413 | 0.000073 | 0.002752 | 0.000004 | 0.001894 |  100.0 |
| |01>>> pthread_condattr_setpshared                                                                                       | 138740 |      0 | sampling_cpu_clock | sec    | 258.000728 | 0.001860 | 0.000013 | 0.405171 | 0.000001 | 0.001153 |    0.0 |
| |01>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 138740 |      1 | sampling_cpu_clock | sec    | 258.000728 | 0.001860 | 0.000013 | 0.405171 | 0.000001 | 0.001153 |    0.0 |
| |01>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 138740 |      2 | sampling_cpu_clock | sec    | 258.000728 | 0.001860 | 0.000013 | 0.405171 | 0.000001 | 0.001153 |    0.0 |
| |01>>>     |_omp_fulfill_event                                                                                           | 138731 |      3 | sampling_cpu_clock | sec    | 257.987317 | 0.001860 | 0.000013 | 0.405171 | 0.000001 | 0.001153 |    0.0 |
| |01>>>       |___sigaction                                                                                               | 138730 |      4 | sampling_cpu_clock | sec    | 257.987096 | 0.001860 | 0.000013 | 0.405171 | 0.000001 | 0.001153 |  100.0 |
| |01>>>       |_lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> ... |      1 |      4 | sampling_cpu_clock | sec    |   0.000221 | 0.000221 | 0.000221 | 0.000221 | 0.000000 | 0.000000 |    0.0 |
| |01>>>         |___sigaction                                                                                             |      1 |      5 | sampling_cpu_clock | sec    |   0.000221 | 0.000221 | 0.000221 | 0.000221 | 0.000000 | 0.000000 |  100.0 |
| |01>>>     |___sigaction                                                                                                 |      9 |      3 | sampling_cpu_clock | sec    |   0.013411 | 0.001490 | 0.000271 | 0.002004 | 0.000001 | 0.000740 |  100.0 |
| |02>>> pthread_condattr_setpshared                                                                                       | 139393 |      0 | sampling_cpu_clock | sec    | 259.898705 | 0.001865 | 0.000013 | 0.424401 | 0.000001 | 0.001196 |    0.0 |
| |02>>> |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<cha... | 139393 |      1 | sampling_cpu_clock | sec    | 259.898705 | 0.001865 | 0.000013 | 0.424401 | 0.000001 | 0.001196 |    0.0 |
| |02>>>   |_std::pair<std::_Rb_tree_iterator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<c... | 139393 |      2 | sampling_cpu_clock | sec    | 259.898705 | 0.001865 | 0.000013 | 0.424401 | 0.000001 | 0.001196 |    0.0 |
| |02>>>     |_omp_fulfill_event                                                                                           | 139387 |      3 | sampling_cpu_clock | sec    | 259.890545 | 0.001865 | 0.000013 | 0.424401 | 0.000001 | 0.001196 |    0.0 |
| |02>>>       |___sigaction                                                                                               | 139386 |      4 | sampling_cpu_clock | sec    | 259.889890 | 0.001865 | 0.000013 | 0.424401 | 0.000001 | 0.001196 |  100.0 |
| |02>>>       |_lin_solve2(int, std::vector<float, std::allocator<float> >&, std::vector<float, std::allocator<float> ... |      1 |      4 | sampling_cpu_clock | sec    |   0.000655 | 0.000655 | 0.000655 | 0.000655 | 0.000000 | 0.000000 |    0.0 |
